"240C 30s - RawData"
"Wavelength nm.","Abs."
300.00,0.359
300.50,0.358
301.00,0.357
301.50,0.355
302.00,0.353
302.50,0.350
303.00,0.348
303.50,0.346
304.00,0.344
304.50,0.341
305.00,0.339
305.50,0.337
306.00,0.334
306.50,0.332
307.00,0.330
307.50,0.328
308.00,0.326
308.50,0.324
309.00,0.322
309.50,0.319
310.00,0.317
310.50,0.315
311.00,0.313
311.50,0.311
312.00,0.309
312.50,0.307
313.00,0.304
313.50,0.302
314.00,0.300
314.50,0.298
315.00,0.296
315.50,0.294
316.00,0.292
316.50,0.289
317.00,0.286
317.50,0.283
318.00,0.280
318.50,0.277
319.00,0.274
319.50,0.271
320.00,0.269
320.50,0.266
321.00,0.263
321.50,0.261
322.00,0.258
322.50,0.255
323.00,0.252
323.50,0.250
324.00,0.247
324.50,0.244
325.00,0.242
325.50,0.240
326.00,0.237
326.50,0.234
327.00,0.232
327.50,0.229
328.00,0.227
328.50,0.225
329.00,0.222
329.50,0.220
330.00,0.218
330.50,0.215
331.00,0.213
331.50,0.212
332.00,0.210
332.50,0.208
333.00,0.206
333.50,0.204
334.00,0.201
334.50,0.199
335.00,0.197
335.50,0.195
336.00,0.193
336.50,0.191
337.00,0.189
337.50,0.187
338.00,0.186
338.50,0.184
339.00,0.182
339.50,0.180
340.00,0.178
340.50,0.176
341.00,0.174
341.50,0.173
342.00,0.171
342.50,0.169
343.00,0.167
343.50,0.165
344.00,0.164
344.50,0.163
345.00,0.161
345.50,0.160
346.00,0.159
346.50,0.157
347.00,0.155
347.50,0.154
348.00,0.152
348.50,0.151
349.00,0.149
349.50,0.148
350.00,0.146
350.50,0.145
351.00,0.144
351.50,0.143
352.00,0.142
352.50,0.140
353.00,0.139
353.50,0.138
354.00,0.137
354.50,0.136
355.00,0.135
355.50,0.134
356.00,0.133
356.50,0.132
357.00,0.130
357.50,0.129
358.00,0.128
358.50,0.127
359.00,0.126
359.50,0.125
360.00,0.124
360.50,0.124
361.00,0.123
361.50,0.122
362.00,0.121
362.50,0.120
363.00,0.119
363.50,0.118
364.00,0.117
364.50,0.116
365.00,0.115
365.50,0.114
366.00,0.113
366.50,0.112
367.00,0.112
367.50,0.111
368.00,0.110
368.50,0.109
369.00,0.109
369.50,0.108
370.00,0.107
370.50,0.106
371.00,0.106
371.50,0.105
372.00,0.104
372.50,0.103
373.00,0.102
373.50,0.101
374.00,0.101
374.50,0.100
375.00,0.099
375.50,0.099
376.00,0.098
376.50,0.097
377.00,0.097
377.50,0.096
378.00,0.096
378.50,0.095
379.00,0.095
379.50,0.094
380.00,0.093
380.50,0.093
381.00,0.092
381.50,0.091
382.00,0.091
382.50,0.090
383.00,0.090
383.50,0.089
384.00,0.088
384.50,0.088
385.00,0.087
385.50,0.086
386.00,0.086
386.50,0.086
387.00,0.085
387.50,0.085
388.00,0.084
388.50,0.083
389.00,0.083
389.50,0.082
390.00,0.081
390.50,0.081
391.00,0.080
391.50,0.080
392.00,0.079
392.50,0.079
393.00,0.078
393.50,0.078
394.00,0.077
394.50,0.077
395.00,0.076
395.50,0.076
396.00,0.075
396.50,0.074
397.00,0.074
397.50,0.073
398.00,0.073
398.50,0.072
399.00,0.072
399.50,0.071
400.00,0.071
400.50,0.070
401.00,0.070
401.50,0.070
402.00,0.069
402.50,0.069
403.00,0.068
403.50,0.068
404.00,0.067
404.50,0.067
405.00,0.066
405.50,0.066
406.00,0.065
406.50,0.065
407.00,0.064
407.50,0.064
408.00,0.063
408.50,0.063
409.00,0.062
409.50,0.062
410.00,0.061
410.50,0.061
411.00,0.060
411.50,0.060
412.00,0.059
412.50,0.058
413.00,0.058
413.50,0.058
414.00,0.057
414.50,0.057
415.00,0.056
415.50,0.056
416.00,0.055
416.50,0.054
417.00,0.054
417.50,0.054
418.00,0.053
418.50,0.053
419.00,0.053
419.50,0.052
420.00,0.052
420.50,0.051
421.00,0.051
421.50,0.050
422.00,0.050
422.50,0.049
423.00,0.049
