"260C 300s - RawData"
"Wavelength nm.","Abs."
300.00,0.349
300.50,0.348
301.00,0.346
301.50,0.344
302.00,0.342
302.50,0.340
303.00,0.339
303.50,0.336
304.00,0.334
304.50,0.332
305.00,0.330
305.50,0.328
306.00,0.326
306.50,0.324
307.00,0.322
307.50,0.320
308.00,0.318
308.50,0.316
309.00,0.313
309.50,0.311
310.00,0.309
310.50,0.307
311.00,0.305
311.50,0.303
312.00,0.301
312.50,0.299
313.00,0.297
313.50,0.295
314.00,0.293
314.50,0.291
315.00,0.290
315.50,0.287
316.00,0.284
316.50,0.281
317.00,0.278
317.50,0.275
318.00,0.272
318.50,0.270
319.00,0.267
319.50,0.265
320.00,0.262
320.50,0.259
321.00,0.256
321.50,0.253
322.00,0.251
322.50,0.248
323.00,0.245
323.50,0.242
324.00,0.240
324.50,0.237
325.00,0.235
325.50,0.232
326.00,0.230
326.50,0.227
327.00,0.224
327.50,0.222
328.00,0.220
328.50,0.217
329.00,0.215
329.50,0.213
330.00,0.211
330.50,0.208
331.00,0.206
331.50,0.204
332.00,0.202
332.50,0.200
333.00,0.198
333.50,0.196
334.00,0.193
334.50,0.191
335.00,0.189
335.50,0.187
336.00,0.185
336.50,0.183
337.00,0.181
337.50,0.179
338.00,0.177
338.50,0.175
339.00,0.173
339.50,0.171
340.00,0.169
340.50,0.167
341.00,0.166
341.50,0.164
342.00,0.162
342.50,0.161
343.00,0.159
343.50,0.157
344.00,0.156
344.50,0.154
345.00,0.153
345.50,0.151
346.00,0.150
346.50,0.148
347.00,0.147
347.50,0.145
348.00,0.144
348.50,0.142
349.00,0.141
349.50,0.139
350.00,0.138
350.50,0.137
351.00,0.136
351.50,0.134
352.00,0.133
352.50,0.132
353.00,0.131
353.50,0.130
354.00,0.129
354.50,0.128
355.00,0.126
355.50,0.125
356.00,0.124
356.50,0.123
357.00,0.122
357.50,0.121
358.00,0.120
358.50,0.119
359.00,0.118
359.50,0.118
360.00,0.117
360.50,0.116
361.00,0.115
361.50,0.114
362.00,0.113
362.50,0.112
363.00,0.111
363.50,0.110
364.00,0.109
364.50,0.109
365.00,0.108
365.50,0.107
366.00,0.106
366.50,0.106
367.00,0.105
367.50,0.104
368.00,0.103
368.50,0.103
369.00,0.102
369.50,0.101
370.00,0.101
370.50,0.100
371.00,0.100
371.50,0.098
372.00,0.098
372.50,0.097
373.00,0.097
373.50,0.096
374.00,0.095
374.50,0.095
375.00,0.094
375.50,0.094
376.00,0.093
376.50,0.092
377.00,0.092
377.50,0.091
378.00,0.091
378.50,0.090
379.00,0.090
379.50,0.089
380.00,0.089
380.50,0.088
381.00,0.088
381.50,0.087
382.00,0.086
382.50,0.086
383.00,0.085
383.50,0.085
384.00,0.084
384.50,0.084
385.00,0.083
385.50,0.082
386.00,0.082
386.50,0.081
387.00,0.081
387.50,0.081
388.00,0.080
388.50,0.080
389.00,0.079
389.50,0.078
390.00,0.078
390.50,0.077
391.00,0.077
391.50,0.076
392.00,0.076
392.50,0.075
393.00,0.075
393.50,0.074
394.00,0.074
394.50,0.073
395.00,0.073
395.50,0.072
396.00,0.072
396.50,0.071
397.00,0.071
397.50,0.070
398.00,0.070
398.50,0.069
399.00,0.069
399.50,0.068
400.00,0.068
400.50,0.068
401.00,0.067
401.50,0.067
402.00,0.067
402.50,0.066
403.00,0.066
403.50,0.065
404.00,0.065
404.50,0.065
405.00,0.067
405.50,0.067
406.00,0.068
406.50,0.068
407.00,0.068
407.50,0.067
408.00,0.066
408.50,0.066
409.00,0.065
409.50,0.064
410.00,0.063
410.50,0.061
411.00,0.061
411.50,0.060
412.00,0.059
412.50,0.059
413.00,0.058
413.50,0.058
414.00,0.057
414.50,0.057
415.00,0.057
415.50,0.057
416.00,0.057
416.50,0.056
417.00,0.056
417.50,0.056
418.00,0.055
418.50,0.054
419.00,0.054
419.50,0.053
420.00,0.053
420.50,0.052
421.00,0.052
421.50,0.051
422.00,0.051
422.50,0.050
423.00,0.050
423.50,0.049
424.00,0.049
424.50,0.048
425.00,0.048
425.50,0.048
426.00,0.047
426.50,0.047
427.00,0.047
427.50,0.047
428.00,0.046
428.50,0.046
429.00,0.046
429.50,0.046
430.00,0.045
430.50,0.045
431.00,0.044
431.50,0.044
432.00,0.044
432.50,0.043
433.00,0.043
433.50,0.042
434.00,0.042
434.50,0.042
435.00,0.042
435.50,0.041
436.00,0.041
436.50,0.041
437.00,0.040
437.50,0.040
438.00,0.040
438.50,0.039
439.00,0.039
439.50,0.039
440.00,0.038
440.50,0.038
441.00,0.038
441.50,0.038
442.00,0.038
442.50,0.037
443.00,0.037
443.50,0.037
444.00,0.037
444.50,0.037
445.00,0.037
445.50,0.037
446.00,0.036
446.50,0.036
447.00,0.036
447.50,0.036
448.00,0.036
448.50,0.036
449.00,0.035
449.50,0.035
450.00,0.035
