"240C 150s2 - RawData"
"Wavelength nm.","Abs."
300.00,0.380
300.50,0.378
301.00,0.377
301.50,0.375
302.00,0.372
302.50,0.370
303.00,0.368
303.50,0.366
304.00,0.363
304.50,0.361
305.00,0.359
305.50,0.356
306.00,0.354
306.50,0.352
307.00,0.349
307.50,0.347
308.00,0.345
308.50,0.342
309.00,0.340
309.50,0.338
310.00,0.335
310.50,0.333
311.00,0.331
311.50,0.329
312.00,0.326
312.50,0.324
313.00,0.321
313.50,0.319
314.00,0.316
314.50,0.314
315.00,0.312
315.50,0.309
316.00,0.307
316.50,0.304
317.00,0.300
317.50,0.297
318.00,0.294
318.50,0.291
319.00,0.288
319.50,0.286
320.00,0.283
320.50,0.280
321.00,0.278
321.50,0.274
322.00,0.271
322.50,0.267
323.00,0.264
323.50,0.260
324.00,0.257
324.50,0.254
325.00,0.251
325.50,0.248
326.00,0.246
326.50,0.243
327.00,0.240
327.50,0.238
328.00,0.235
328.50,0.233
329.00,0.230
329.50,0.228
330.00,0.226
330.50,0.223
331.00,0.221
331.50,0.219
332.00,0.216
332.50,0.214
333.00,0.211
333.50,0.209
334.00,0.206
334.50,0.205
335.00,0.202
335.50,0.200
336.00,0.198
336.50,0.196
337.00,0.194
337.50,0.192
338.00,0.190
338.50,0.188
339.00,0.185
339.50,0.184
340.00,0.182
340.50,0.180
341.00,0.178
341.50,0.176
342.00,0.175
342.50,0.173
343.00,0.171
343.50,0.169
344.00,0.168
344.50,0.166
345.00,0.164
345.50,0.163
346.00,0.161
346.50,0.159
347.00,0.158
347.50,0.156
348.00,0.154
348.50,0.153
349.00,0.151
349.50,0.149
350.00,0.148
350.50,0.147
351.00,0.145
351.50,0.144
352.00,0.143
352.50,0.142
353.00,0.141
353.50,0.140
354.00,0.138
354.50,0.137
355.00,0.136
355.50,0.135
356.00,0.134
356.50,0.133
357.00,0.131
357.50,0.130
358.00,0.129
358.50,0.128
359.00,0.127
359.50,0.126
360.00,0.125
360.50,0.124
361.00,0.124
361.50,0.122
362.00,0.121
362.50,0.120
363.00,0.120
363.50,0.119
364.00,0.118
364.50,0.117
365.00,0.116
365.50,0.115
366.00,0.114
366.50,0.113
367.00,0.113
367.50,0.112
368.00,0.111
368.50,0.110
369.00,0.110
