"260C 75s - RawData"
"Wavelength nm.","Abs."
300.00,0.362
300.50,0.361
301.00,0.359
301.50,0.357
302.00,0.355
302.50,0.353
303.00,0.351
303.50,0.349
304.00,0.347
304.50,0.345
305.00,0.343
305.50,0.340
306.00,0.338
306.50,0.336
307.00,0.334
307.50,0.332
308.00,0.329
308.50,0.327
309.00,0.325
309.50,0.322
310.00,0.320
310.50,0.318
311.00,0.316
311.50,0.314
312.00,0.312
312.50,0.310
313.00,0.307
313.50,0.305
314.00,0.302
314.50,0.300
315.00,0.298
315.50,0.296
316.00,0.293
316.50,0.290
317.00,0.287
317.50,0.284
318.00,0.281
318.50,0.279
319.00,0.276
319.50,0.273
320.00,0.271
320.50,0.268
321.00,0.265
321.50,0.262
322.00,0.259
322.50,0.256
323.00,0.253
323.50,0.250
324.00,0.247
324.50,0.245
325.00,0.242
325.50,0.240
326.00,0.237
326.50,0.235
327.00,0.232
327.50,0.229
328.00,0.227
328.50,0.225
329.00,0.222
329.50,0.220
330.00,0.218
330.50,0.216
331.00,0.214
331.50,0.211
332.00,0.209
332.50,0.207
333.00,0.205
333.50,0.202
334.00,0.200
334.50,0.198
335.00,0.196
335.50,0.194
336.00,0.192
336.50,0.190
337.00,0.188
337.50,0.186
338.00,0.184
338.50,0.182
339.00,0.180
339.50,0.178
340.00,0.177
340.50,0.175
341.00,0.173
341.50,0.172
342.00,0.170
342.50,0.168
343.00,0.166
343.50,0.164
344.00,0.163
344.50,0.161
345.00,0.159
345.50,0.158
346.00,0.157
346.50,0.155
347.00,0.154
347.50,0.152
348.00,0.151
348.50,0.149
349.00,0.148
349.50,0.146
350.00,0.145
350.50,0.144
351.00,0.142
351.50,0.141
352.00,0.140
352.50,0.139
353.00,0.137
353.50,0.136
354.00,0.135
354.50,0.134
355.00,0.133
355.50,0.132
356.00,0.131
356.50,0.130
357.00,0.129
357.50,0.128
358.00,0.127
358.50,0.126
359.00,0.125
359.50,0.123
360.00,0.123
360.50,0.122
361.00,0.121
361.50,0.120
362.00,0.119
362.50,0.118
363.00,0.117
363.50,0.116
364.00,0.115
364.50,0.115
365.00,0.114
365.50,0.113
366.00,0.112
366.50,0.112
367.00,0.111
367.50,0.110
368.00,0.109
368.50,0.108
369.00,0.108
369.50,0.107
370.00,0.106
370.50,0.105
371.00,0.105
371.50,0.104
372.00,0.103
372.50,0.102
373.00,0.101
373.50,0.100
374.00,0.099
374.50,0.099
375.00,0.098
375.50,0.098
376.00,0.097
376.50,0.097
377.00,0.096
377.50,0.096
378.00,0.095
378.50,0.094
379.00,0.093
379.50,0.093
380.00,0.092
380.50,0.091
381.00,0.091
381.50,0.090
382.00,0.090
382.50,0.089
383.00,0.089
383.50,0.088
384.00,0.088
384.50,0.087
385.00,0.086
385.50,0.086
386.00,0.085
386.50,0.084
387.00,0.084
387.50,0.083
388.00,0.083
388.50,0.082
389.00,0.082
389.50,0.081
390.00,0.081
390.50,0.080
391.00,0.080
391.50,0.079
392.00,0.078
392.50,0.078
393.00,0.077
393.50,0.077
394.00,0.076
394.50,0.076
395.00,0.075
395.50,0.075
396.00,0.074
396.50,0.073
397.00,0.073
397.50,0.072
398.00,0.072
398.50,0.071
399.00,0.070
399.50,0.070
400.00,0.070
400.50,0.069
401.00,0.069
401.50,0.068
402.00,0.068
402.50,0.067
403.00,0.067
403.50,0.066
404.00,0.066
404.50,0.065
405.00,0.065
405.50,0.064
406.00,0.064
406.50,0.063
407.00,0.062
407.50,0.062
408.00,0.061
408.50,0.061
409.00,0.061
409.50,0.060
410.00,0.060
410.50,0.059
411.00,0.059
411.50,0.058
412.00,0.058
412.50,0.057
413.00,0.057
413.50,0.056
414.00,0.055
414.50,0.055
415.00,0.055
415.50,0.054
416.00,0.053
416.50,0.053
417.00,0.052
417.50,0.052
418.00,0.052
418.50,0.051
419.00,0.051
419.50,0.050
420.00,0.050
420.50,0.049
421.00,0.049
421.50,0.049
422.00,0.048
422.50,0.048
423.00,0.047
423.50,0.047
424.00,0.046
424.50,0.046
425.00,0.046
425.50,0.045
426.00,0.045
426.50,0.044
427.00,0.044
427.50,0.044
428.00,0.043
428.50,0.043
429.00,0.043
429.50,0.042
430.00,0.042
430.50,0.041
431.00,0.041
431.50,0.041
432.00,0.040
432.50,0.040
433.00,0.040
433.50,0.039
434.00,0.039
434.50,0.039
435.00,0.039
435.50,0.039
436.00,0.038
436.50,0.038
437.00,0.038
437.50,0.037
438.00,0.037
438.50,0.037
439.00,0.037
439.50,0.037
440.00,0.037
440.50,0.036
441.00,0.036
441.50,0.036
442.00,0.036
442.50,0.036
443.00,0.036
443.50,0.036
444.00,0.035
444.50,0.035
445.00,0.035
445.50,0.035
446.00,0.035
446.50,0.035
447.00,0.035
447.50,0.035
448.00,0.035
448.50,0.035
449.00,0.035
449.50,0.036
450.00,0.036
450.50,0.036
451.00,0.036
451.50,0.036
452.00,0.036
452.50,0.036
453.00,0.036
453.50,0.036
454.00,0.037
454.50,0.037
455.00,0.037
455.50,0.037
456.00,0.037
456.50,0.038
457.00,0.038
457.50,0.038
458.00,0.039
458.50,0.039
459.00,0.039
459.50,0.040
460.00,0.040
460.50,0.040
461.00,0.041
461.50,0.041
462.00,0.042
462.50,0.042
463.00,0.042
463.50,0.043
464.00,0.043
464.50,0.044
465.00,0.044
465.50,0.045
466.00,0.045
466.50,0.045
467.00,0.046
467.50,0.046
468.00,0.047
468.50,0.047
469.00,0.048
469.50,0.048
470.00,0.049
470.50,0.049
471.00,0.050
471.50,0.050
472.00,0.051
472.50,0.051
473.00,0.052
473.50,0.052
474.00,0.053
474.50,0.053
475.00,0.053
475.50,0.054
476.00,0.054
476.50,0.055
477.00,0.055
477.50,0.056
478.00,0.056
478.50,0.057
479.00,0.057
479.50,0.057
480.00,0.058
480.50,0.058
481.00,0.058
481.50,0.059
482.00,0.059
482.50,0.059
483.00,0.060
483.50,0.060
484.00,0.060
484.50,0.060
485.00,0.060
485.50,0.061
486.00,0.061
486.50,0.061
487.00,0.061
487.50,0.061
488.00,0.061
488.50,0.061
489.00,0.061
489.50,0.061
490.00,0.061
490.50,0.061
491.00,0.061
491.50,0.061
492.00,0.061
492.50,0.061
493.00,0.061
493.50,0.060
494.00,0.060
494.50,0.060
495.00,0.060
495.50,0.059
496.00,0.059
496.50,0.059
497.00,0.058
497.50,0.058
498.00,0.057
498.50,0.057
499.00,0.056
499.50,0.056
500.00,0.055
500.50,0.055
501.00,0.054
501.50,0.054
502.00,0.053
502.50,0.052
503.00,0.052
503.50,0.051
504.00,0.050
504.50,0.050
505.00,0.049
505.50,0.048
506.00,0.047
506.50,0.046
507.00,0.046
507.50,0.045
508.00,0.044
508.50,0.043
509.00,0.043
509.50,0.042
510.00,0.041
510.50,0.040
511.00,0.039
511.50,0.038
512.00,0.038
512.50,0.037
513.00,0.036
513.50,0.035
514.00,0.034
514.50,0.034
515.00,0.033
515.50,0.032
516.00,0.031
516.50,0.030
517.00,0.030
517.50,0.029
518.00,0.028
518.50,0.027
519.00,0.026
519.50,0.025
520.00,0.025
520.50,0.024
521.00,0.023
521.50,0.023
522.00,0.022
522.50,0.021
523.00,0.020
523.50,0.020
524.00,0.019
524.50,0.018
525.00,0.018
525.50,0.017
526.00,0.016
526.50,0.016
527.00,0.015
527.50,0.015
528.00,0.014
528.50,0.013
529.00,0.013
529.50,0.012
530.00,0.012
530.50,0.011
531.00,0.011
531.50,0.010
532.00,0.010
532.50,0.009
533.00,0.009
533.50,0.009
534.00,0.008
534.50,0.008
535.00,0.008
535.50,0.007
536.00,0.007
536.50,0.007
537.00,0.006
537.50,0.006
538.00,0.006
538.50,0.005
539.00,0.005
539.50,0.005
540.00,0.005
540.50,0.005
541.00,0.004
541.50,0.004
542.00,0.004
542.50,0.004
543.00,0.004
543.50,0.004
544.00,0.003
