"260C 600s - RawData"
"Wavelength nm.","Abs."
300.00,0.382
300.50,0.381
301.00,0.380
301.50,0.378
302.00,0.376
302.50,0.374
303.00,0.372
303.50,0.370
304.00,0.368
304.50,0.366
305.00,0.363
305.50,0.361
306.00,0.359
306.50,0.358
307.00,0.356
307.50,0.354
308.00,0.351
308.50,0.349
309.00,0.346
309.50,0.344
310.00,0.341
310.50,0.339
311.00,0.336
311.50,0.334
312.00,0.332
312.50,0.329
313.00,0.327
313.50,0.325
314.00,0.322
314.50,0.320
315.00,0.318
315.50,0.316
316.00,0.313
316.50,0.310
317.00,0.307
317.50,0.304
318.00,0.300
318.50,0.297
319.00,0.295
319.50,0.292
320.00,0.289
320.50,0.287
321.00,0.283
321.50,0.280
322.00,0.277
322.50,0.274
323.00,0.271
323.50,0.268
324.00,0.265
324.50,0.262
325.00,0.259
325.50,0.256
326.00,0.253
326.50,0.251
327.00,0.248
327.50,0.245
328.00,0.243
328.50,0.240
329.00,0.238
329.50,0.236
330.00,0.233
330.50,0.231
331.00,0.228
331.50,0.226
332.00,0.224
332.50,0.221
333.00,0.219
333.50,0.216
334.00,0.214
334.50,0.212
335.00,0.209
335.50,0.207
336.00,0.205
336.50,0.203
337.00,0.201
337.50,0.199
338.00,0.196
338.50,0.195
339.00,0.192
339.50,0.190
340.00,0.188
340.50,0.186
341.00,0.184
341.50,0.182
342.00,0.180
342.50,0.178
343.00,0.176
343.50,0.174
344.00,0.173
344.50,0.171
345.00,0.169
345.50,0.168
346.00,0.166
346.50,0.164
347.00,0.163
347.50,0.161
348.00,0.159
348.50,0.157
349.00,0.156
349.50,0.154
350.00,0.153
350.50,0.151
351.00,0.150
351.50,0.149
352.00,0.147
352.50,0.146
353.00,0.145
353.50,0.144
354.00,0.142
354.50,0.141
355.00,0.140
355.50,0.139
356.00,0.137
356.50,0.136
357.00,0.135
357.50,0.134
358.00,0.133
358.50,0.132
359.00,0.131
359.50,0.130
360.00,0.129
360.50,0.128
361.00,0.127
361.50,0.126
362.00,0.125
362.50,0.124
363.00,0.123
363.50,0.122
364.00,0.121
364.50,0.120
365.00,0.119
365.50,0.118
366.00,0.117
366.50,0.116
367.00,0.115
367.50,0.114
368.00,0.113
368.50,0.113
369.00,0.113
369.50,0.112
370.00,0.111
370.50,0.110
371.00,0.109
371.50,0.108
372.00,0.107
372.50,0.107
373.00,0.106
373.50,0.105
374.00,0.105
374.50,0.104
375.00,0.103
375.50,0.102
376.00,0.102
376.50,0.101
377.00,0.101
377.50,0.100
378.00,0.099
378.50,0.099
379.00,0.098
379.50,0.098
380.00,0.097
380.50,0.096
381.00,0.096
381.50,0.095
382.00,0.095
382.50,0.094
383.00,0.094
383.50,0.093
384.00,0.092
384.50,0.092
385.00,0.091
385.50,0.090
386.00,0.090
386.50,0.089
387.00,0.088
387.50,0.088
388.00,0.087
388.50,0.087
389.00,0.087
389.50,0.086
390.00,0.085
390.50,0.085
391.00,0.084
391.50,0.084
392.00,0.083
392.50,0.083
393.00,0.082
393.50,0.081
394.00,0.081
394.50,0.081
395.00,0.080
395.50,0.080
396.00,0.079
396.50,0.078
397.00,0.078
397.50,0.077
398.00,0.077
398.50,0.076
399.00,0.076
399.50,0.075
400.00,0.075
400.50,0.075
401.00,0.074
401.50,0.074
402.00,0.073
402.50,0.073
403.00,0.073
403.50,0.072
404.00,0.071
404.50,0.071
405.00,0.070
405.50,0.070
406.00,0.069
406.50,0.069
407.00,0.068
407.50,0.068
408.00,0.067
408.50,0.067
409.00,0.066
409.50,0.066
410.00,0.065
410.50,0.065
411.00,0.064
411.50,0.064
412.00,0.063
412.50,0.063
413.00,0.062
413.50,0.062
414.00,0.061
414.50,0.061
415.00,0.060
415.50,0.060
416.00,0.059
416.50,0.059
417.00,0.058
417.50,0.058
418.00,0.058
418.50,0.057
419.00,0.057
419.50,0.056
420.00,0.056
420.50,0.055
421.00,0.055
421.50,0.054
422.00,0.054
422.50,0.053
423.00,0.053
423.50,0.052
424.00,0.052
424.50,0.051
425.00,0.051
425.50,0.050
426.00,0.050
426.50,0.050
427.00,0.049
427.50,0.049
428.00,0.048
