"260C 150s2 - RawData"
"Wavelength nm.","Abs."
300.00,0.347
300.50,0.346
301.00,0.344
301.50,0.343
302.00,0.341
302.50,0.339
303.00,0.337
303.50,0.335
304.00,0.333
304.50,0.331
305.00,0.329
305.50,0.327
306.00,0.325
306.50,0.323
307.00,0.321
307.50,0.319
308.00,0.317
308.50,0.316
309.00,0.314
309.50,0.312
310.00,0.310
310.50,0.308
311.00,0.306
311.50,0.303
312.00,0.302
312.50,0.299
313.00,0.297
313.50,0.295
314.00,0.292
314.50,0.290
315.00,0.288
315.50,0.287
316.00,0.284
316.50,0.282
317.00,0.279
317.50,0.276
318.00,0.273
318.50,0.270
319.00,0.268
319.50,0.265
320.00,0.262
320.50,0.259
321.00,0.257
321.50,0.254
322.00,0.252
322.50,0.249
323.00,0.247
323.50,0.245
324.00,0.243
324.50,0.241
325.00,0.239
325.50,0.236
326.00,0.233
326.50,0.231
327.00,0.228
327.50,0.226
328.00,0.224
328.50,0.221
329.00,0.219
329.50,0.216
330.00,0.214
330.50,0.211
331.00,0.210
331.50,0.207
332.00,0.205
332.50,0.203
333.00,0.201
333.50,0.199
334.00,0.197
334.50,0.195
335.00,0.193
335.50,0.191
336.00,0.188
336.50,0.186
337.00,0.184
337.50,0.182
338.00,0.180
338.50,0.179
339.00,0.177
339.50,0.174
340.00,0.173
340.50,0.171
341.00,0.169
341.50,0.167
342.00,0.166
342.50,0.164
343.00,0.162
343.50,0.160
344.00,0.159
344.50,0.157
345.00,0.156
345.50,0.154
346.00,0.153
346.50,0.151
347.00,0.150
347.50,0.148
348.00,0.146
348.50,0.145
349.00,0.144
349.50,0.142
350.00,0.141
350.50,0.140
351.00,0.139
351.50,0.137
352.00,0.136
352.50,0.135
353.00,0.134
353.50,0.133
354.00,0.131
354.50,0.131
355.00,0.129
355.50,0.128
356.00,0.127
356.50,0.126
357.00,0.125
357.50,0.124
358.00,0.123
358.50,0.122
359.00,0.121
359.50,0.120
360.00,0.119
360.50,0.118
361.00,0.117
361.50,0.116
362.00,0.116
362.50,0.115
363.00,0.114
363.50,0.113
364.00,0.112
364.50,0.112
365.00,0.111
365.50,0.110
366.00,0.109
366.50,0.108
367.00,0.107
367.50,0.107
368.00,0.106
368.50,0.105
369.00,0.105
369.50,0.104
370.00,0.103
370.50,0.102
371.00,0.102
371.50,0.101
372.00,0.100
372.50,0.099
373.00,0.099
373.50,0.098
374.00,0.097
374.50,0.097
375.00,0.096
375.50,0.095
376.00,0.095
376.50,0.094
377.00,0.093
377.50,0.093
378.00,0.092
378.50,0.092
379.00,0.091
379.50,0.091
380.00,0.090
380.50,0.089
381.00,0.089
381.50,0.088
382.00,0.088
382.50,0.087
383.00,0.087
383.50,0.086
384.00,0.085
384.50,0.085
385.00,0.084
385.50,0.083
386.00,0.083
386.50,0.082
387.00,0.082
387.50,0.082
388.00,0.081
388.50,0.081
389.00,0.080
389.50,0.079
390.00,0.079
390.50,0.078
391.00,0.078
391.50,0.077
392.00,0.077
392.50,0.076
393.00,0.075
393.50,0.075
394.00,0.075
394.50,0.074
395.00,0.074
395.50,0.073
396.00,0.072
396.50,0.072
397.00,0.071
397.50,0.071
398.00,0.070
398.50,0.070
399.00,0.069
399.50,0.069
400.00,0.068
400.50,0.068
401.00,0.068
401.50,0.067
402.00,0.067
402.50,0.066
403.00,0.066
403.50,0.065
404.00,0.065
404.50,0.064
405.00,0.064
405.50,0.063
406.00,0.063
406.50,0.062
407.00,0.061
407.50,0.061
408.00,0.061
408.50,0.060
409.00,0.060
409.50,0.059
410.00,0.059
410.50,0.058
411.00,0.058
411.50,0.057
412.00,0.057
412.50,0.056
413.00,0.056
413.50,0.055
414.00,0.055
414.50,0.054
415.00,0.054
415.50,0.053
416.00,0.053
416.50,0.052
417.00,0.052
417.50,0.051
418.00,0.051
418.50,0.051
419.00,0.050
419.50,0.050
420.00,0.049
420.50,0.049
421.00,0.049
421.50,0.048
422.00,0.048
422.50,0.047
423.00,0.047
423.50,0.046
424.00,0.046
424.50,0.046
425.00,0.045
425.50,0.045
426.00,0.044
426.50,0.044
427.00,0.044
427.50,0.043
428.00,0.043
428.50,0.043
429.00,0.042
429.50,0.042
430.00,0.042
430.50,0.041
431.00,0.041
431.50,0.041
432.00,0.040
432.50,0.040
433.00,0.039
433.50,0.039
434.00,0.039
434.50,0.039
