"G_InP - RawData"
"Wavelength nm.","Abs."
300.00,0.404
300.50,0.402
301.00,0.399
301.50,0.395
302.00,0.392
302.50,0.388
303.00,0.385
303.50,0.382
304.00,0.378
304.50,0.375
305.00,0.372
305.50,0.369
306.00,0.366
306.50,0.363
307.00,0.359
307.50,0.356
308.00,0.353
308.50,0.350
309.00,0.347
309.50,0.344
310.00,0.341
310.50,0.338
311.00,0.335
311.50,0.332
312.00,0.329
312.50,0.326
313.00,0.323
313.50,0.320
314.00,0.317
314.50,0.314
315.00,0.311
315.50,0.308
316.00,0.305
316.50,0.302
317.00,0.299
317.50,0.296
318.00,0.293
318.50,0.290
319.00,0.287
319.50,0.284
320.00,0.281
320.50,0.279
321.00,0.276
321.50,0.273
322.00,0.270
322.50,0.267
323.00,0.264
323.50,0.262
324.00,0.259
324.50,0.256
325.00,0.254
325.50,0.251
326.00,0.249
326.50,0.246
327.00,0.244
327.50,0.242
328.00,0.240
328.50,0.238
329.00,0.235
329.50,0.233
330.00,0.231
330.50,0.229
331.00,0.227
331.50,0.225
332.00,0.223
332.50,0.221
333.00,0.219
333.50,0.217
334.00,0.215
334.50,0.213
335.00,0.211
335.50,0.209
336.00,0.208
336.50,0.206
337.00,0.204
337.50,0.202
338.00,0.200
338.50,0.198
339.00,0.196
339.50,0.194
340.00,0.193
340.50,0.191
341.00,0.189
341.50,0.187
342.00,0.185
342.50,0.184
343.00,0.182
343.50,0.180
344.00,0.178
344.50,0.177
345.00,0.175
345.50,0.173
346.00,0.172
346.50,0.170
347.00,0.168
347.50,0.166
348.00,0.164
348.50,0.163
349.00,0.161
349.50,0.160
350.00,0.158
350.50,0.156
351.00,0.155
351.50,0.153
352.00,0.152
352.50,0.150
353.00,0.149
353.50,0.147
354.00,0.146
354.50,0.144
355.00,0.143
355.50,0.141
356.00,0.140
356.50,0.138
357.00,0.137
357.50,0.135
358.00,0.134
358.50,0.133
359.00,0.131
359.50,0.130
360.00,0.128
360.50,0.127
361.00,0.126
361.50,0.125
362.00,0.123
362.50,0.122
363.00,0.121
363.50,0.119
364.00,0.118
364.50,0.117
365.00,0.116
365.50,0.114
366.00,0.113
366.50,0.111
367.00,0.110
367.50,0.109
368.00,0.108
